,filename,label
0,hrundztjfb.mp4,FAKE
1,uyfnfvsxez.mp4,REAL
2,yknlciphae.mp4,FAKE
3,zfyczzssiz.mp4,FAKE
4,kggbciadwj.mp4,REAL
5,corcplqpxs.mp4,FAKE
6,jswifckvow.mp4,FAKE
7,xhhkfqmuzx.mp4,REAL
8,egidjdstrw.mp4,FAKE
9,dbglpvkptp.mp4,FAKE
10,mkpxlnvlil.mp4,REAL
11,vfttfmjztd.mp4,FAKE
12,jnelvrznwv.mp4,FAKE
13,jbqtknxkrk.mp4,FAKE
14,pllgovampw.mp4,FAKE
15,zevqhglyrv.mp4,REAL
16,flxuyzbglj.mp4,FAKE
17,higdmcpfpw.mp4,FAKE
18,xerxxjxnrl.mp4,FAKE
19,wpcjrqaoeo.mp4,FAKE
20,ihklglsqss.mp4,FAKE
21,jhcynxkhku.mp4,FAKE
22,qeefpaarrl.mp4,FAKE
23,asjzklsxgb.mp4,FAKE
24,cyqhlojnof.mp4,FAKE
25,gazrgzbnzj.mp4,FAKE
26,bvzecoohzv.mp4,FAKE
27,zacgcrjdnw.mp4,FAKE
28,pdwlwtneaz.mp4,FAKE
29,eedeexqyxg.mp4,FAKE
30,ihauvmnevo.mp4,REAL
31,tspxsnmgvn.mp4,FAKE
32,zjatoyujpi.mp4,REAL
33,fhsckyuezm.mp4,REAL
34,wuyzidtfnb.mp4,FAKE
35,mqcqjynvym.mp4,FAKE
36,jopqwzkdtc.mp4,FAKE
37,vocvsaozqt.mp4,REAL
38,pcelrizujy.mp4,FAKE
39,cnkagalbom.mp4,FAKE
40,bfzylgxdsh.mp4,FAKE
41,qasptbtcyf.mp4,FAKE
42,exklctvfty.mp4,FAKE
43,spnywzqwbd.mp4,REAL
44,eljuwtunzi.mp4,FAKE
45,ytfngzjnfm.mp4,FAKE
46,fztnpmcexo.mp4,FAKE
47,gckbkqedod.mp4,FAKE
48,anjlmqmuaj.mp4,FAKE
49,gkoxyhfssm.mp4,FAKE
50,oqlcqlxmaa.mp4,FAKE
51,dkzinomdzy.mp4,FAKE
52,muohrognps.mp4,FAKE
53,iyxjdvhoil.mp4,FAKE
54,ygmyjlrjpe.mp4,FAKE
55,ctvrdvsvlm.mp4,FAKE
56,uigumjoigj.mp4,FAKE
57,vlmblrjort.mp4,FAKE
58,xwchjncolr.mp4,FAKE
59,yzebcskiyu.mp4,REAL
60,gvekjxzsik.mp4,FAKE
61,xgfgwmtuyx.mp4,FAKE
62,veecjbgkph.mp4,REAL
63,ncpvftqsxg.mp4,FAKE
64,olwxxevrto.mp4,FAKE
65,jhyrglgwqj.mp4,REAL
66,ynhjsiaakw.mp4,FAKE
67,uaogqdzhip.mp4,FAKE
68,qvcsiotvxl.mp4,FAKE
69,slkhwtlzio.mp4,FAKE
70,spflqgvyes.mp4,FAKE
71,jgehfzchud.mp4,FAKE
72,xqbqzsyhgo.mp4,FAKE
73,yehfurclja.mp4,FAKE
74,zwfljqaght.mp4,FAKE
75,niypapnoea.mp4,FAKE
76,uyaxlsnssn.mp4,FAKE
77,srirkcysce.mp4,FAKE
78,osmkcnlhnx.mp4,FAKE
79,vexcwzcmuh.mp4,FAKE
80,xynqbceyjg.mp4,FAKE
81,gvgkvfjchj.mp4,FAKE
82,pnjbszaplh.mp4,FAKE
83,twbejffnfw.mp4,FAKE
84,ttzwpvnubk.mp4,FAKE
